distortion,flips_mean,flips_max,bytes_mean,recoverable,detect_ber0.00,detect_ber0.05,detect_ber0.10
identity,0.0,0,0.0,1.0,1.0,1.0,0.5567010309278351
jpeg-80,1.2268041237113403,5,1.2061855670103092,1.0,1.0,1.0,0.5154639175257731
jpeg-50,2.2268041237113403,7,2.154639175257732,1.0,1.0,1.0,0.5463917525773195
crop-90,38.103092783505154,86,21.79381443298969,0.18556701030927836,0.18556701030927836,0.18556701030927836,0.08247422680412371
crop-70,68.29896907216495,133,27.36082474226804,0.05154639175257732,0.05154639175257732,0.05154639175257732,0.030927835051546393
rot-5,44.1958762886598,81,23.804123711340207,0.09278350515463918,0.09278350515463918,0.09278350515463918,0.030927835051546393
rot-15,72.50515463917526,131,28.175257731958762,0.030927835051546393,0.030927835051546393,0.030927835051546393,0.010309278350515464
bright-0.7,62.855670103092784,148,25.371134020618555,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.041237113402061855
bright-1.5,73.3298969072165,136,27.47422680412371,0.061855670103092786,0.061855670103092786,0.061855670103092786,0.020618556701030927
contrast-1.5,11.257731958762887,29,9.536082474226804,0.9381443298969072,0.9381443298969072,0.9381443298969072,0.5360824742268041
noise-0.02,1.690721649484536,6,1.6391752577319587,1.0,1.0,1.0,0.5567010309278351
crop-80+jpeg-60,56.21649484536083,106,25.75257731958763,0.08247422680412371,0.08247422680412371,0.08247422680412371,0.020618556701030927
crop-70+jpeg-50,68.17525773195877,132,27.288659793814432,0.05154639175257732,0.05154639175257732,0.05154639175257732,0.020618556701030927
rot-5+jpeg-70,43.8041237113402,80,23.670103092783506,0.10309278350515463,0.10309278350515463,0.10309278350515463,0.05154639175257732
noise+jpeg-60,2.5257731958762886,8,2.4536082474226806,1.0,1.0,1.0,0.5876288659793815
