distortion,flips_mean,flips_max,bytes_mean,recoverable,detect_ber0.00,detect_ber0.05,detect_ber0.10
identity,0.0,0,0.0,1.0,1.0,1.0,0.39285714285714285
jpeg-80,13.214285714285714,22,11.142857142857142,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.14285714285714285
jpeg-50,19.642857142857142,32,15.0,0.0,0.0,0.0,0.0
crop-90,20.142857142857142,39,14.357142857142858,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.10714285714285714
crop-70,31.857142857142858,58,20.142857142857142,0.0,0.0,0.0,0.0
rot-5,29.428571428571427,45,20.071428571428573,0.0,0.0,0.0,0.0
rot-15,35.214285714285715,55,21.285714285714285,0.0,0.0,0.0,0.0
bright-0.7,3.5,8,3.357142857142857,1.0,1.0,1.0,0.4642857142857143
bright-1.5,11.0,19,9.142857142857142,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.10714285714285714
contrast-1.5,9.642857142857142,19,8.357142857142858,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.10714285714285714
noise-0.02,15.035714285714286,22,12.392857142857142,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285
crop-80+jpeg-60,29.428571428571427,46,19.785714285714285,0.0,0.0,0.0,0.0
crop-70+jpeg-50,35.57142857142857,61,21.928571428571427,0.0,0.0,0.0,0.0
rot-5+jpeg-70,33.714285714285715,49,19.857142857142858,0.0,0.0,0.0,0.0
noise+jpeg-60,22.392857142857142,39,16.535714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0
